Country,Year,CO2
India,2000,1000
India,2001,1050
India,2002,1100
India,2003,1150
India,2004,1200
India,2005,1250
India,2006,1300
India,2007,1350
India,2008,1400
India,2009,1450
India,2010,1500
India,2011,1550
India,2012,1600
India,2013,1650
India,2014,1700
India,2015,1750
India,2016,1800
India,2017,1850
India,2018,1900
India,2019,1950
India,2020,2000
India,2021,2050
India,2022,2100
India,2023,2150
India,2024,2200
USA,2000,5000
USA,2001,5010
USA,2002,5020
USA,2003,5030
USA,2004,5040
USA,2005,5050
USA,2006,5060
USA,2007,5070
USA,2008,5080
USA,2009,5090
USA,2010,5100
USA,2011,5110
USA,2012,5120
USA,2013,5130
USA,2014,5140
USA,2015,5150
USA,2016,5160
USA,2017,5170
USA,2018,5180
USA,2019,5190
USA,2020,5200
USA,2021,5210
USA,2022,5220
USA,2023,5230
USA,2024,5240
