date,value
2023-01-01,10.0
2023-01-02,11.1
2023-01-03,12.2
2023-01-04,13.3
2023-01-05,14.4
2023-01-06,15.5
2023-01-07,16.6
2023-01-08,10.7
2023-01-09,11.8
2023-01-10,12.9
2023-01-11,14.0
2023-01-12,15.1
2023-01-13,16.2
2023-01-14,17.3
2023-01-15,11.4
2023-01-16,12.5
2023-01-17,13.6
2023-01-18,14.7
2023-01-19,15.8
2023-01-20,16.9
2023-01-21,18.0
2023-01-22,12.1
2023-01-23,13.2
2023-01-24,14.3
2023-01-25,15.4
2023-01-26,16.5
2023-01-27,17.6
2023-01-28,18.7
2023-01-29,12.8
2023-01-30,13.9
2023-01-31,15.0
2023-02-01,16.1
2023-02-02,17.2
2023-02-03,18.3
2023-02-04,19.4
2023-02-05,13.5
2023-02-06,14.6
2023-02-07,15.7
2023-02-08,16.8
2023-02-09,17.9
2023-02-10,19.0
2023-02-11,20.1
2023-02-12,14.2
2023-02-13,15.3
2023-02-14,16.4
2023-02-15,17.5
2023-02-16,18.6
2023-02-17,19.7
2023-02-18,20.8
2023-02-19,14.9
2023-02-20,16.0
2023-02-21,17.1
2023-02-22,18.2
2023-02-23,19.3
2023-02-24,20.4
2023-02-25,21.5
2023-02-26,15.600000000000001
2023-02-27,16.7
2023-02-28,17.8
2023-03-01,18.9
