Date,Year,Price
2000-12-31,2000,400
2001-12-31,2001,445
2002-12-31,2002,490
2003-12-31,2003,535
2004-12-31,2004,580
2005-12-31,2005,625
2006-12-31,2006,670
2007-12-31,2007,715
2008-12-31,2008,760
2009-12-31,2009,805
2010-12-31,2010,850
2011-12-31,2011,895
2012-12-31,2012,940
2013-12-31,2013,985
2014-12-31,2014,1030
2015-12-31,2015,1075
2016-12-31,2016,1120
2017-12-31,2017,1165
2018-12-31,2018,1210
2019-12-31,2019,1255
2020-12-31,2020,1300
2021-12-31,2021,1345
2022-12-31,2022,1390
2023-12-31,2023,1435
2024-12-31,2024,1480
