Country,Year,GDP
India,2000,460000000000.0
India,2001,570000000000.0
India,2002,680000000000.0
India,2003,790000000000.0
India,2004,900000000000.0
India,2005,1010000000000.0
India,2006,1120000000000.0
India,2007,1230000000000.0
India,2008,1340000000000.0
India,2009,1450000000000.0
India,2010,1560000000000.0
India,2011,1670000000000.0
India,2012,1780000000000.0
India,2013,1890000000000.0
India,2014,2000000000000.0
India,2015,2110000000000.0
India,2016,2220000000000.0
India,2017,2330000000000.0
India,2018,2440000000000.0
India,2019,2550000000000.0
India,2020,2660000000000.0
India,2021,2770000000000.0
India,2022,2880000000000.0
India,2023,2990000000000.0
India,2024,3100000000000.0
