date,value
2021-01-01,50.0
2021-02-01,51.5
2021-03-01,53.0
2021-04-01,54.5
2021-05-01,56.0
2021-06-01,57.5
2021-07-01,59.0
2021-08-01,60.5
2021-09-01,62.0
2021-10-01,63.5
2021-11-01,65.0
2021-12-01,66.5
2022-01-01,56.0
2022-02-01,57.5
2022-03-01,59.0
2022-04-01,60.5
2022-05-01,62.0
2022-06-01,63.5
2022-07-01,65.0
2022-08-01,66.5
2022-09-01,68.0
2022-10-01,69.5
2022-11-01,71.0
2022-12-01,72.5
2023-01-01,62.0
2023-02-01,63.5
2023-03-01,65.0
2023-04-01,66.5
2023-05-01,68.0
2023-06-01,69.5
2023-07-01,71.0
2023-08-01,72.5
2023-09-01,74.0
2023-10-01,75.5
2023-11-01,77.0
2023-12-01,78.5
