Year,Price_USD
2000,32.79011851324841
2001,38.579887820376676
2002,43.83651093974032
2003,51.08223592366573
2004,61.01053974341442
2005,71.84854875993813
2006,80.9870105715941
2007,87.37922863903148
2008,28.503390256382065
2009,35.00352797004553
2010,44.25860824911036
2011,55.114716073103615
2012,64.94595908026196
2013,72.06870089501383
2014,77.28948864719295
2015,83.1635172604519
2016,27.64539502334101
2017,38.292085742953205
2018,48.67023417751664
2019,56.59338162368711
2020,62.132185965031766
2021,67.54945913973303
2022,75.21974828011555
2023,85.44618802997212
2024,32.18179995103756
