Year,Month,Rainfall_in,Temp_F,Wind_mph
2015,Jan,5.8,46.4,9.2
2015,Feb,3.8,48.4,8.8
2015,Mar,3.8,52.4,8.5
2015,Apr,2.7,56.4,7.9
2015,May,1.9,62.4,7.2
2015,Jun,1.5,67.4,6.8
2015,Jul,0.8,72.4,6.5
2015,Aug,1.0,72.4,6.6
2015,Sep,1.6,67.4,7.0
2015,Oct,3.5,58.4,7.8
2015,Nov,6.1,50.4,8.6
2015,Dec,5.6,45.4,9.0
2016,Jan,5.819999999999999,46.0,9.2
2016,Feb,3.82,48.0,8.8
2016,Mar,3.82,52.0,8.5
2016,Apr,2.72,56.0,7.9
2016,May,1.92,62.0,7.2
2016,Jun,1.52,67.0,6.8
2016,Jul,0.8200000000000001,72.0,6.5
2016,Aug,1.02,72.0,6.6
2016,Sep,1.62,67.0,7.0
2016,Oct,3.52,58.0,7.8
2016,Nov,6.119999999999999,50.0,8.6
2016,Dec,5.619999999999999,45.0,9.0
2017,Jan,5.84,46.2,9.2
2017,Feb,3.84,48.2,8.8
2017,Mar,3.84,52.2,8.5
2017,Apr,2.74,56.2,7.9
2017,May,1.94,62.2,7.2
2017,Jun,1.54,67.2,6.8
2017,Jul,0.8400000000000001,72.2,6.5
2017,Aug,1.04,72.2,6.6
2017,Sep,1.6400000000000001,67.2,7.0
2017,Oct,3.54,58.2,7.8
2017,Nov,6.14,50.2,8.6
2017,Dec,5.64,45.2,9.0
2018,Jan,5.859999999999999,46.4,9.2
2018,Feb,3.86,48.4,8.8
2018,Mar,3.86,52.4,8.5
2018,Apr,2.7600000000000002,56.4,7.9
2018,May,1.96,62.4,7.2
2018,Jun,1.56,67.4,6.8
2018,Jul,0.8600000000000001,72.4,6.5
2018,Aug,1.06,72.4,6.6
2018,Sep,1.6600000000000001,67.4,7.0
2018,Oct,3.56,58.4,7.8
2018,Nov,6.159999999999999,50.4,8.6
2018,Dec,5.659999999999999,45.4,9.0
2019,Jan,5.88,46.0,9.2
2019,Feb,3.88,48.0,8.8
2019,Mar,3.88,52.0,8.5
2019,Apr,2.7800000000000002,56.0,7.9
2019,May,1.98,62.0,7.2
2019,Jun,1.58,67.0,6.8
2019,Jul,0.88,72.0,6.5
2019,Aug,1.08,72.0,6.6
2019,Sep,1.6800000000000002,67.0,7.0
2019,Oct,3.58,58.0,7.8
2019,Nov,6.18,50.0,8.6
2019,Dec,5.68,45.0,9.0
2020,Jan,5.8999999999999995,46.2,9.2
2020,Feb,3.9,48.2,8.8
2020,Mar,3.9,52.2,8.5
2020,Apr,2.8000000000000003,56.2,7.9
2020,May,2.0,62.2,7.2
2020,Jun,1.6,67.2,6.8
2020,Jul,0.9,72.2,6.5
2020,Aug,1.1,72.2,6.6
2020,Sep,1.7000000000000002,67.2,7.0
2020,Oct,3.6,58.2,7.8
2020,Nov,6.199999999999999,50.2,8.6
2020,Dec,5.699999999999999,45.2,9.0
2021,Jan,5.92,46.4,9.2
2021,Feb,3.92,48.4,8.8
2021,Mar,3.92,52.4,8.5
2021,Apr,2.8200000000000003,56.4,7.9
2021,May,2.02,62.4,7.2
2021,Jun,1.62,67.4,6.8
2021,Jul,0.92,72.4,6.5
2021,Aug,1.12,72.4,6.6
2021,Sep,1.7200000000000002,67.4,7.0
2021,Oct,3.62,58.4,7.8
2021,Nov,6.22,50.4,8.6
2021,Dec,5.72,45.4,9.0
2022,Jan,5.9399999999999995,46.0,9.2
2022,Feb,3.94,48.0,8.8
2022,Mar,3.94,52.0,8.5
2022,Apr,2.8400000000000003,56.0,7.9
2022,May,2.04,62.0,7.2
2022,Jun,1.6400000000000001,67.0,6.8
2022,Jul,0.9400000000000001,72.0,6.5
2022,Aug,1.1400000000000001,72.0,6.6
2022,Sep,1.7400000000000002,67.0,7.0
2022,Oct,3.64,58.0,7.8
2022,Nov,6.239999999999999,50.0,8.6
2022,Dec,5.739999999999999,45.0,9.0
2023,Jan,5.96,46.2,9.2
2023,Feb,3.96,48.2,8.8
2023,Mar,3.96,52.2,8.5
2023,Apr,2.8600000000000003,56.2,7.9
2023,May,2.06,62.2,7.2
2023,Jun,1.66,67.2,6.8
2023,Jul,0.9600000000000001,72.2,6.5
2023,Aug,1.16,72.2,6.6
2023,Sep,1.76,67.2,7.0
2023,Oct,3.66,58.2,7.8
2023,Nov,6.26,50.2,8.6
2023,Dec,5.76,45.2,9.0
2024,Jan,5.9799999999999995,46.4,9.2
2024,Feb,3.98,48.4,8.8
2024,Mar,3.98,52.4,8.5
2024,Apr,2.8800000000000003,56.4,7.9
2024,May,2.08,62.4,7.2
2024,Jun,1.68,67.4,6.8
2024,Jul,0.98,72.4,6.5
2024,Aug,1.18,72.4,6.6
2024,Sep,1.78,67.4,7.0
2024,Oct,3.68,58.4,7.8
2024,Nov,6.279999999999999,50.4,8.6
2024,Dec,5.779999999999999,45.4,9.0
