Country,Year,GDP
India,2000,460000000000.0
United States,2000,10000000000000.0
China,2000,1200000000000.0
India,2001,570000000000.0
United States,2001,10450000000000.0
China,2001,1750000000000.0
India,2002,680000000000.0
United States,2002,10900000000000.0
China,2002,2300000000000.0
India,2003,790000000000.0
United States,2003,11350000000000.0
China,2003,2850000000000.0
India,2004,900000000000.0
United States,2004,11800000000000.0
China,2004,3400000000000.0
India,2005,1010000000000.0
United States,2005,12250000000000.0
China,2005,3950000000000.0
India,2006,1120000000000.0
United States,2006,12700000000000.0
China,2006,4500000000000.0
India,2007,1230000000000.0
United States,2007,13150000000000.0
China,2007,5050000000000.0
India,2008,1340000000000.0
United States,2008,13600000000000.0
China,2008,5600000000000.0
India,2009,1450000000000.0
United States,2009,14050000000000.0
China,2009,6150000000000.0
India,2010,1560000000000.0
United States,2010,14500000000000.0
China,2010,6700000000000.0
India,2011,1670000000000.0
United States,2011,14950000000000.0
China,2011,7250000000000.0
India,2012,1780000000000.0
United States,2012,15400000000000.0
China,2012,7800000000000.0
India,2013,1890000000000.0
United States,2013,15850000000000.0
China,2013,8350000000000.0
India,2014,2000000000000.0
United States,2014,16300000000000.0
China,2014,8900000000000.0
India,2015,2110000000000.0
United States,2015,16750000000000.0
China,2015,9450000000000.0
India,2016,2220000000000.0
United States,2016,17200000000000.0
China,2016,10000000000000.0
India,2017,2330000000000.0
United States,2017,17650000000000.0
China,2017,10550000000000.0
India,2018,2440000000000.0
United States,2018,18100000000000.0
China,2018,11100000000000.0
India,2019,2550000000000.0
United States,2019,18550000000000.0
China,2019,11650000000000.0
India,2020,2660000000000.0
United States,2020,19000000000000.0
China,2020,12200000000000.0
India,2021,2770000000000.0
United States,2021,19450000000000.0
China,2021,12750000000000.0
India,2022,2880000000000.0
United States,2022,19900000000000.0
China,2022,13300000000000.0
India,2023,2990000000000.0
United States,2023,20350000000000.0
China,2023,13850000000000.0
India,2024,3100000000000.0
United States,2024,20800000000000.0
China,2024,14400000000000.0
