Country,Year,Population
India,2000,1163695122
India,2001,1174168378
India,2002,1184735893
India,2003,1195398517
India,2004,1206157103
India,2005,1217012517
India,2006,1227965630
India,2007,1239017320
India,2008,1250168476
India,2009,1261419993
India,2010,1272772773
India,2011,1284227728
India,2012,1295785777
India,2013,1307447849
India,2014,1319214880
India,2015,1331087814
India,2016,1343067604
India,2017,1355155212
India,2018,1367351609
India,2019,1379657774
India,2020,1392074694
India,2021,1404603366
India,2022,1417244796
India,2023,1430000000
India,2024,1442869999
China,2000,1377955937
China,2001,1379333893
China,2002,1380713227
China,2003,1382093941
China,2004,1383476034
China,2005,1384859511
China,2006,1386244370
China,2007,1387630614
China,2008,1389018245
China,2009,1390407263
China,2010,1391797671
China,2011,1393189468
China,2012,1394582658
China,2013,1395977240
China,2014,1397373218
China,2015,1398770591
China,2016,1400169361
China,2017,1401569531
China,2018,1402971100
China,2019,1404374071
China,2020,1405778445
China,2021,1407184224
China,2022,1408591408
China,2023,1410000000
China,2024,1411409999
United States,2000,298693235
United States,2001,300186701
United States,2002,301687634
United States,2003,303196072
United States,2004,304712053
United States,2005,306235613
United States,2006,307766791
United States,2007,309305625
United States,2008,310852153
United States,2009,312406414
United States,2010,313968446
United States,2011,315538288
United States,2012,317115980
United States,2013,318701560
United States,2014,320295067
United States,2015,321896543
United States,2016,323506025
United States,2017,325123556
United States,2018,326749173
United States,2019,328382919
United States,2020,330024834
United States,2021,331674958
United States,2022,333333333
United States,2023,335000000
United States,2024,336674999
Indonesia,2000,231447533
Indonesia,2001,233299114
Indonesia,2002,235165506
Indonesia,2003,237046830
Indonesia,2004,238943205
Indonesia,2005,240854751
Indonesia,2006,242781589
Indonesia,2007,244723842
Indonesia,2008,246681632
Indonesia,2009,248655085
Indonesia,2010,250644326
Indonesia,2011,252649481
Indonesia,2012,254670676
Indonesia,2013,256708042
Indonesia,2014,258761706
Indonesia,2015,260831800
Indonesia,2016,262918454
Indonesia,2017,265021802
Indonesia,2018,267141976
Indonesia,2019,269279112
Indonesia,2020,271433345
Indonesia,2021,273604812
Indonesia,2022,275793650
Indonesia,2023,278000000
Indonesia,2024,280224000
Pakistan,2000,155670030
Pakistan,2001,158627760
Pakistan,2002,161641688
Pakistan,2003,164712880
Pakistan,2004,167842424
Pakistan,2005,171031431
Pakistan,2006,174281028
Pakistan,2007,177592367
Pakistan,2008,180966622
Pakistan,2009,184404988
Pakistan,2010,187908683
Pakistan,2011,191478948
Pakistan,2012,195117048
Pakistan,2013,198824272
Pakistan,2014,202601933
Pakistan,2015,206451370
Pakistan,2016,210373946
Pakistan,2017,214371051
Pakistan,2018,218444101
Pakistan,2019,222594539
Pakistan,2020,226823835
Pakistan,2021,231133488
Pakistan,2022,235525024
Pakistan,2023,240000000
Pakistan,2024,244559999
Nigeria,2000,129242651
Nigeria,2001,132344475
Nigeria,2002,135520742
Nigeria,2003,138773240
Nigeria,2004,142103798
Nigeria,2005,145514289
Nigeria,2006,149006632
Nigeria,2007,152582791
Nigeria,2008,156244778
Nigeria,2009,159994653
Nigeria,2010,163834525
Nigeria,2011,167766553
Nigeria,2012,171792951
Nigeria,2013,175915981
Nigeria,2014,180137965
Nigeria,2015,184461276
Nigeria,2016,188888347
Nigeria,2017,193421667
Nigeria,2018,198063787
Nigeria,2019,202817318
Nigeria,2020,207684934
Nigeria,2021,212669372
Nigeria,2022,217773437
Nigeria,2023,223000000
Nigeria,2024,228352000
Brazil,2000,188234920
Brazil,2001,189364329
Brazil,2002,190500515
Brazil,2003,191643518
Brazil,2004,192793380
Brazil,2005,193950140
Brazil,2006,195113841
Brazil,2007,196284524
Brazil,2008,197462231
Brazil,2009,198647004
Brazil,2010,199838886
Brazil,2011,201037920
Brazil,2012,202244147
Brazil,2013,203457612
Brazil,2014,204678358
Brazil,2015,205906428
Brazil,2016,207141866
Brazil,2017,208384718
Brazil,2018,209635026
Brazil,2019,210892836
Brazil,2020,212158193
Brazil,2021,213431142
Brazil,2022,214711729
Brazil,2023,216000000
Brazil,2024,217296000
Bangladesh,2000,137611429
Bangladesh,2001,138987543
Bangladesh,2002,140377419
Bangladesh,2003,141781193
Bangladesh,2004,143199005
Bangladesh,2005,144630995
Bangladesh,2006,146077305
Bangladesh,2007,147538078
Bangladesh,2008,149013459
Bangladesh,2009,150503593
Bangladesh,2010,152008629
Bangladesh,2011,153528715
Bangladesh,2012,155064003
Bangladesh,2013,156614643
Bangladesh,2014,158180789
Bangladesh,2015,159762597
Bangladesh,2016,161360223
Bangladesh,2017,162973825
Bangladesh,2018,164603563
Bangladesh,2019,166249599
Bangladesh,2020,167912095
Bangladesh,2021,169591216
Bangladesh,2022,171287128
Bangladesh,2023,173000000
Bangladesh,2024,174730000
Russia,2000,150785660
Russia,2001,150484089
Russia,2002,150183120
Russia,2003,149882754
Russia,2004,149582989
Russia,2005,149283823
Russia,2006,148985255
Russia,2007,148687285
Russia,2008,148389910
Russia,2009,148093130
Russia,2010,147796944
Russia,2011,147501350
Russia,2012,147206347
Russia,2013,146911935
Russia,2014,146618111
Russia,2015,146324875
Russia,2016,146032225
Russia,2017,145740160
Russia,2018,145448680
Russia,2019,145157783
Russia,2020,144867467
Russia,2021,144577732
Russia,2022,144288577
Russia,2023,144000000
Russia,2024,143712000
Mexico,2000,107398316
Mexico,2001,108257502
Mexico,2002,109123562
Mexico,2003,109996551
Mexico,2004,110876523
Mexico,2005,111763535
Mexico,2006,112657643
Mexico,2007,113558905
Mexico,2008,114467376
Mexico,2009,115383115
Mexico,2010,116306180
Mexico,2011,117236629
Mexico,2012,118174522
Mexico,2013,119119918
Mexico,2014,120072878
Mexico,2015,121033461
Mexico,2016,122001729
Mexico,2017,122977742
Mexico,2018,123961564
Mexico,2019,124953257
Mexico,2020,125952883
Mexico,2021,126960506
Mexico,2022,127976190
Mexico,2023,129000000
Mexico,2024,130032000
Japan,2000,134877754
Japan,2001,134338243
Japan,2002,133800890
Japan,2003,133265687
Japan,2004,132732624
Japan,2005,132201693
Japan,2006,131672887
Japan,2007,131146195
Japan,2008,130621610
Japan,2009,130099124
Japan,2010,129578727
Japan,2011,129060412
Japan,2012,128544171
Japan,2013,128029994
Japan,2014,127517874
Japan,2015,127007803
Japan,2016,126499771
Japan,2017,125993772
Japan,2018,125489797
Japan,2019,124987838
Japan,2020,124487887
Japan,2021,123989935
Japan,2022,123493975
Japan,2023,123000000
Japan,2024,122508000
Ethiopia,2000,71403851
Ethiopia,2001,73188948
Ethiopia,2002,75018672
Ethiopia,2003,76894138
Ethiopia,2004,78816492
Ethiopia,2005,80786904
Ethiopia,2006,82806577
Ethiopia,2007,84876741
Ethiopia,2008,86998660
Ethiopia,2009,89173626
Ethiopia,2010,91402967
Ethiopia,2011,93688041
Ethiopia,2012,96030242
Ethiopia,2013,98430998
Ethiopia,2014,100891773
Ethiopia,2015,103414067
Ethiopia,2016,105999419
Ethiopia,2017,108649405
Ethiopia,2018,111365640
Ethiopia,2019,114149781
Ethiopia,2020,117003525
Ethiopia,2021,119928613
Ethiopia,2022,122926829
Ethiopia,2023,126000000
Ethiopia,2024,129149999
